product_id,category_id,product_name,description,image,owner_id,created_at,updated_at,additional_data
12,2,TechPro Durable Cookware Set O543,"TechPro Durable Cookware Set O543 - Clair printemps indiquer ainsi colline intérieur lutte.

Skin tonight lose fly. No enter career choice number allow.

Key Features:
• Great value
• Space-saving
• Multi-functional
• Satisfaction guaranteed

Magni quod pariatur iste.",product_2_12_techpro_durable_cook.jpg,64,2024-09-13 16:34:02.024207,2024-09-25 16:34:02.024207,"{'brand': '天益传媒有限公司', 'model': 'P8425', 'weight': 6.75, 'dimensions': '36x12x2', 'color': 'Silver', 'material': 'Leather', 'country_of_origin': 'Mexico', 'warranty': '5 years', 'keywords': ['nulla', 'quite', 'durch', 'lot'], 'quality_score': 3}"
13,18,Modern Knife Set 2022 Model,"Modern Knife Set 2022 Model - 价格责任因此以下经验.

Delectus culpa veritatis tenetur distinctio illum.

Key Features:
• Easy to use
• Fast charging
• Bluetooth connectivity
• Durable construction

Reiciendis omnis nesciunt odit dolores mollitia.",product_18_13_modern_knife_set_202.jpg,493,2024-10-04 16:34:02.024258,2024-12-02 16:34:02.024258,"{'brand': 'Rose LLC', 'model': 'P8133', 'weight': 4.16, 'dimensions': '5x41x14', 'color': 'Gold', 'material': 'Glass', 'country_of_origin': '埃塞俄比亚', 'warranty': '2 years', 'keywords': ['厳しい', 'ipsum', 'オークション', 'neuf', 'middle'], 'quality_score': 4}"
14,5,Designer T-Shirt 2024 Model,"Designer T-Shirt 2024 Model - 文化制作但是部分国际计划一样.

Roche remercier oncle projet condition honneur saison.

Key Features:
• High quality
• Timer function
• Easy to use

発生する明らかにする必要。",product_5_14_designer_t-shirt_202.jpg,334,2024-12-19 16:34:02.024320,2025-02-08 16:34:02.024320,"{'brand': 'Wright-Santana', 'model': 'P7914', 'weight': 6.5, 'dimensions': '3x13x11', 'color': 'Red', 'material': 'Metal', 'country_of_origin': 'Sri Lanka', 'warranty': None, 'keywords': ['ブレーキ', '联系', 'porro', '也是', 'repellendus'], 'quality_score': 5}"
15,8,Premium TV,"Premium TV - 意図パーセント学生軸スキームトレーナーコピー。

世界工作企业最大怎么中文表示.

Key Features:
• Modern design
• BPA-free
• High quality

Lesen mögen gut erzählen sicher Schuh heißen.",product_8_15_premium_tv.jpg,76,2024-06-02 16:34:02.024426,2024-08-23 16:34:02.024426,"{'brand': '田中運輸合同会社', 'model': 'P7668', 'weight': 8.98, 'dimensions': '43x43x6', 'color': 'Blue', 'material': 'Ceramic', 'country_of_origin': 'Vietnam', 'warranty': 'Lifetime', 'keywords': ['success', 'defense', 'fall', 'époque'], 'quality_score': 4}"
16,7,Complete Self-Help Guide,"Complete Self-Help Guide - Tisch verstecken müde böse.

West the now up. Age chance officer single.

Key Features:
• Durable construction
• Machine washable
• Breathable fabric
• Great value

直接作者价格生产网上能力.",product_7_16_complete_self-help_g.jpg,31,2025-02-25 16:34:02.024473,2025-03-12 16:34:02.024473,"{'brand': 'Morrow, Buck and Ray', 'model': 'P6134', 'weight': 3.36, 'dimensions': '38x48x25', 'color': 'Gold', 'material': 'Leather', 'country_of_origin': 'Belarus', 'warranty': 'Lifetime', 'keywords': ['vitae', 'ブレーキ', 'politics', 'check'], 'quality_score': 4}"
17,13,Trendy Blazer 2023 Model,"Trendy Blazer 2023 Model - Onkel Seite dafür.

Illum quibusdam consequuntur beatae quo perferendis blanditiis.

Key Features:
• Easy to use
• Great value
• Made with premium materials
• Eco-friendly materials

Das eigentlich dann sechs.",product_13_17_trendy_blazer_2023_m.jpg,300,2024-11-16 16:34:02.024616,2024-12-08 16:34:02.024616,"{'brand': 'Vogt GmbH', 'model': 'P2850', 'weight': 3.23, 'dimensions': '28x31x44', 'color': 'White', 'material': 'Wood', 'country_of_origin': '苏丹', 'warranty': '1 year', 'keywords': ['メニュー', 'wird', 'eius', '試してみる', '成为'], 'quality_score': 3}"
18,15,Bestselling Novel,"Bestselling Novel - Occur issue front movie produce.

Brot Sonne fährt Brief fünf steigen Schiff.

Key Features:
• HD camera
• Water resistant
• Lightweight design
• Voice control
• Easy to use

增加完全女人一下.",product_15_18_bestselling_novel.jpg,449,2024-07-05 16:34:02.024660,2024-07-07 16:34:02.024660,"{'brand': 'Anderson Group', 'model': 'P6945', 'weight': 9.04, 'dimensions': '44x8x35', 'color': 'Gold', 'material': 'Metal', 'country_of_origin': 'Andorra', 'warranty': '3 years', 'keywords': ['パイオニア', '一般', 'marché', 'take', '当前', 'support'], 'quality_score': 5}"
19,0,Bluetooth Tablet,"Bluetooth Tablet - Nisi consectetur possimus libero accusantium atque voluptas.

Course very near much hold.

Key Features:
• Noise cancellation
• Easy to use
• HD camera

Ea asperiores quia.",product_0_19_bluetooth_tablet.jpg,444,2023-11-06 16:34:02.024723,2023-12-08 16:34:02.024723,"{'brand': 'Dale Group', 'model': 'P7656', 'weight': 7.91, 'dimensions': '18x6x50', 'color': 'Blue', 'material': 'Glass', 'country_of_origin': 'Jamaica', 'warranty': 'Lifetime', 'keywords': ['high', '怒り', 'Fenster', '革新', 'barbe', 'sapiente'], 'quality_score': 3}"
20,10,Compact Food Processor,"Compact Food Processor - ハードウェア職人ソース編組。

パイオニアジャム動物クール舗装擁する。

Key Features:
• Bestseller
• Easy to use
• High quality
• Durable construction
• Versatile style

Passion d'autres presser drôle désormais céder où te.",product_10_20_compact_food_process.jpg,214,2024-05-13 16:34:02.024785,2024-06-02 16:34:02.024785,"{'brand': 'Rosemann Wirth KGaA', 'model': 'P1853', 'weight': 6.45, 'dimensions': '12x41x29', 'color': 'Gold', 'material': 'Leather', 'country_of_origin': 'Kambodscha', 'warranty': '1 year', 'keywords': ['Weihnachten', 'sommet', 'hospital'], 'quality_score': 3}"
21,12,HomeStyle Portable Laptop G776,"HomeStyle Portable Laptop G776 - Scheinen überall heißen ist dumm finden langsam Bruder.

Abri approcher attacher caresser répéter ce. Aller temps respirer midi bois.

Key Features:
• Durable construction
• Satisfaction guaranteed
• Customer favorite
• Fast charging

Laut ins auf allein.",product_12_21_homestyle_portable_l.jpg,66,2025-01-06 16:34:02.024826,2025-02-15 16:34:02.024826,"{'brand': 'Santiago, West and Hernandez', 'model': 'P6367', 'weight': 8.02, 'dimensions': '13x6x27', 'color': 'Red', 'material': 'Metal', 'country_of_origin': 'Trinidad and Tobago', 'warranty': '3 years', 'keywords': ['国家', 'voilà', 'major', 'deal', '移動', 'klein'], 'quality_score': 2}"
22,18,Stainless Steel Mixer,"Stainless Steel Mixer - Approach Republican forward why spend.

Unique large couler fou calme côté âge. Confiance manquer maladie examiner grâce grave.

Key Features:
• Lightweight design
• Customer favorite
• Satisfaction guaranteed

Cours miser espace.",product_18_22_stainless_steel_mixe.jpg,43,2024-10-25 16:34:02.024968,2025-01-04 16:34:02.024968,"{'brand': '诺依曼软件传媒有限公司', 'model': 'P8027', 'weight': 6.04, 'dimensions': '10x6x24', 'color': 'White', 'material': 'Fabric', 'country_of_origin': 'Swaziland', 'warranty': None, 'keywords': ['wieder', 'or', 'kam'], 'quality_score': 1}"
23,16,NatureEssence Premium Speaker F982,"NatureEssence Premium Speaker F982 - Explicabo aperiam dolores consequuntur.

Bauer Freude ihr.

Key Features:
• Seasonal design
• Easy to use
• Breathable fabric

Phone agent attack bring land magazine.",product_16_23_natureessence_premiu.jpg,383,2024-08-12 16:34:02.025014,2024-11-06 16:34:02.025014,"{'brand': 'Herrmann AG', 'model': 'P5636', 'weight': 7.29, 'dimensions': '13x27x12', 'color': 'Blue', 'material': 'Ceramic', 'country_of_origin': 'San Marino', 'warranty': '1 year', 'keywords': ['朋友', '保証金', 'リンク'], 'quality_score': 3}"
24,9,ArtisanCraft Comfortable Blazer P604,"ArtisanCraft Comfortable Blazer P604 - 賞賛する狭いデフォルト犯罪者。

我们一些准备使用她的论坛作品.

Key Features:
• Voice control
• Customer favorite
• Durable construction
• Easy to use
• Satisfaction guaranteed

憲法ダニ賞賛するあったコピー戦略的あなた自身サンプル。",product_9_24_artisancraft_comfort.jpg,381,2023-08-17 16:34:02.025053,2023-11-04 16:34:02.025053,"{'brand': '图龙信息传媒有限公司', 'model': 'P2561', 'weight': 5.61, 'dimensions': '4x22x16', 'color': 'Blue', 'material': 'Wood', 'country_of_origin': 'ケニア', 'warranty': '5 years', 'keywords': ['不能', 'hier', 'クール', '学生', 'item', 'Zahl', 'church', 'placeat'], 'quality_score': 3}"
25,19,Illustrated Encyclopedia 2022 Model,"Illustrated Encyclopedia 2022 Model - Jouer morceau désigner.

Delectus qui voluptas pariatur nisi nesciunt. Voluptatum ipsum accusamus quae.

Key Features:
• Versatile style
• Comfortable fit
• High quality
• Made with premium materials
• Great value

Sept vague changement croix arrêter imposer.",product_19_25_illustrated_encyclop.jpg,45,2024-04-29 16:34:02.025103,2024-04-29 16:34:02.025103,"{'brand': '株式会社鈴木水産', 'model': 'P9253', 'weight': 4.98, 'dimensions': '22x30x9', 'color': 'Black', 'material': 'Wood', 'country_of_origin': 'Panama', 'warranty': 'Lifetime', 'keywords': ['正在', 'professor', '不断', 'cesse', '〜', 'easy', 'valoir'], 'quality_score': 3}"
26,13,Trendy Sweater 2024 Model,"Trendy Sweater 2024 Model - 一样销售浏览继续有关本站方式正在.

Personal who until meet spring surface wife. Thus fight catch serious later they.

Key Features:
• Versatile style
• Seasonal design
• Durable stitching
• Satisfaction guaranteed
• Great value

Quant À dehors visite vie faveur toute matière.",product_13_26_trendy_sweater_2024_.jpg,67,2024-11-18 16:34:02.025159,2024-12-28 16:34:02.025159,"{'brand': 'Green Inc', 'model': 'P8139', 'weight': 8.94, 'dimensions': '21x48x32', 'color': 'Gold', 'material': 'Metal', 'country_of_origin': 'Malaysia', 'warranty': '5 years', 'keywords': ['phrase', '什么', 'eaque', 'mögen', 'firm', '見出し', 'south', '一切'], 'quality_score': 3}"
27,14,Energy-efficient Cookware Set 2025 Model,"Energy-efficient Cookware Set 2025 Model - Memory matter stage establish.

Nam magnam iure quibusdam neque voluptatum. Optio amet aliquam explicabo quae ea ratione.

Key Features:
• Easy to use
• Multi-functional
• Dishwasher safe

コンペ叔父舗装奨励します。",product_14_27_energy-efficient_coo.jpg,247,2025-03-23 16:34:02.025243,2025-03-29 16:34:02.025243,"{'brand': 'Abbott-Lawrence', 'model': 'P6841', 'weight': 9.89, 'dimensions': '36x32x30', 'color': 'Blue', 'material': 'Plastic', 'country_of_origin': '纳米比亚', 'warranty': 'Lifetime', 'keywords': ['衝突', 'maladie', 'chercher', 'nass'], 'quality_score': 1}"
28,3,Essential Self-Help Guide 2024 Model,"Essential Self-Help Guide 2024 Model - 的人其中浏览以下处理图片.

分割改善〜ジャーナル評議会運。テント葉電話暖かい。

Key Features:
• Voice control
• High quality
• High-resolution display
• Lightweight design
• Easy to use

Neque doloribus occaecati eius molestias a.",product_3_28_essential_self-help_.jpg,46,2024-12-11 16:34:02.025320,2025-01-16 16:34:02.025320,"{'brand': '有限会社松本情報', 'model': 'P2258', 'weight': 2.54, 'dimensions': '32x44x7', 'color': 'Red', 'material': 'Plastic', 'country_of_origin': '毛里塔尼亚', 'warranty': '2 years', 'keywords': ['sint', 'up', 'dem', 'midi', 'dick', '障害', '部隊', 'large'], 'quality_score': 3}"
29,3,Comprehensive Dictionary 2025 Model,"Comprehensive Dictionary 2025 Model - Strategy become available your both to yes eat.

准备今年具有文章.方法如何一个中心一些.

Key Features:
• Lightweight design
• High quality
• Great value
• High-resolution display

Longtemps fou renoncer précipiter témoin expliquer vague.",product_3_29_comprehensive_dictio.jpg,84,2024-11-16 16:34:02.025375,2024-12-27 16:34:02.025375,"{'brand': 'Rodrigues', 'model': 'P8423', 'weight': 3.32, 'dimensions': '47x47x37', 'color': 'White', 'material': 'Metal', 'country_of_origin': 'Brunei', 'warranty': None, 'keywords': ['器官', 'Geschichte', '这个', 'voluptatem', 'fille', 'store', '省略', 'verlieren'], 'quality_score': 5}"
30,9,Elegant Blazer,"Elegant Blazer - Sense machine treatment section significant camera else.

厳しい分割午前シュガー敵人形欠乏。主婦見落とす協力バケツ。

Key Features:
• Noise cancellation
• Bluetooth connectivity
• Bestseller
• Voice control

Performance try phone water national pattern.",product_9_30_elegant_blazer.jpg,22,2024-11-03 16:34:02.025429,2024-11-12 16:34:02.025429,"{'brand': '合同会社松田電気', 'model': 'P4411', 'weight': 1.71, 'dimensions': '50x26x19', 'color': 'Silver', 'material': 'Ceramic', 'country_of_origin': '巴拉圭', 'warranty': 'Lifetime', 'keywords': ['運', 'presque', 'müde', 'vérité'], 'quality_score': 1}"
31,3,Illustrated Cookbook,"Illustrated Cookbook - Future end finish process book party.

问题表示希望社会.过程企业电话方法只有因此.

Key Features:
• Voice control
• HD camera
• Easy to use
• Durable construction

Quibusdam nam hic in dolorum voluptate officia.",product_3_31_illustrated_cookbook.jpg,220,2025-02-07 16:34:02.025474,2025-03-18 16:34:02.025474,"{'brand': 'Riley, Murphy and Greene', 'model': 'P7931', 'weight': 0.99, 'dimensions': '28x24x40', 'color': 'White', 'material': 'Glass', 'country_of_origin': 'Malta', 'warranty': 'Lifetime', 'keywords': ['appear', 'phone', '只要', 'コンペ', 'in', '目的'], 'quality_score': 3}"
32,2,Ceramic Mixer,"Ceramic Mixer - Arbre tirer y pointe.

Habiter lettre arracher résistance dire adresser résoudre endormir. Soin juste heure marier amener huit.

Key Features:
• Modern design
• Energy efficient
• Timer function
• Multi-functional
• Dishwasher safe

Contre lit oh grâce depuis.",product_2_32_ceramic_mixer.jpg,228,2025-03-29 16:34:02.025612,2025-04-18 16:34:02.025613,"{'brand': 'Lebon', 'model': 'P3093', 'weight': 6.87, 'dimensions': '20x16x34', 'color': 'Blue', 'material': 'Wood', 'country_of_origin': 'St. Pierre und Miquelon', 'warranty': '5 years', 'keywords': ['tempora', 'nihil', 'visible'], 'quality_score': 3}"
33,17,Classic Jeans 2022 Model,"Classic Jeans 2022 Model - Brûler part occasion.

Accrocher tout grâce.

Key Features:
• Digital display
• BPA-free
• Energy efficient
• High quality

Corrupti debitis quis iste.",product_17_33_classic_jeans_2022_m.jpg,20,2025-03-20 16:34:02.025652,2025-04-18 16:34:02.025653,"{'brand': 'Sorgatz', 'model': 'P1266', 'weight': 1.23, 'dimensions': '43x30x12', 'color': 'Gold', 'material': 'Metal', 'country_of_origin': 'Indien', 'warranty': '3 years', 'keywords': ['dazu', 'silence', 'in'], 'quality_score': 4}"
34,2,Energy-efficient Cookware Set,"Energy-efficient Cookware Set - Bad exactly work begin.

リハビリ奨励しますじぶんの隠すインチカレッジささやき。

Key Features:
• BPA-free
• Space-saving
• Modern design
• Dishwasher safe

ホイール助けて電話ボトル電池革新。",product_2_34_energy-efficient_coo.jpg,394,2024-10-15 16:34:02.025688,2024-11-22 16:34:02.025688,"{'brand': 'Richard', 'model': 'P2742', 'weight': 4.39, 'dimensions': '2x1x26', 'color': 'Black', 'material': 'Plastic', 'country_of_origin': 'Lettonie', 'warranty': '1 year', 'keywords': ['nemo', 'défaut', '必须', 'choice', '生活', 'asperiores', 'quia', 'ensuite'], 'quality_score': 3}"
35,15,Comprehensive Self-Help Guide,"Comprehensive Self-Help Guide - 状态大学留言关系很多详细只是.

Vite trou complet cependant plante poursuivre.

Key Features:
• Customer favorite
• Durable construction
• Great value
• Easy to use
• Satisfaction guaranteed

Soluta facere quibusdam veniam aliquid perferendis.",product_15_35_comprehensive_self-h.jpg,109,2024-07-30 16:34:02.025738,2024-10-22 16:34:02.025738,"{'brand': 'Jäkel Sölzer GmbH', 'model': 'P2435', 'weight': 1.34, 'dimensions': '1x13x8', 'color': 'Gold', 'material': 'Plastic', 'country_of_origin': 'Pologne', 'warranty': 'Lifetime', 'keywords': ['glücklich', '个人', 'autem', 'challenge'], 'quality_score': 4}"
36,0,Wireless Tablet 2024 Model,"Wireless Tablet 2024 Model - Vel voluptates eligendi modi.

可是空间有关质量资源要求直接工程.怎么注册网上更多.

Key Features:
• Water resistant
• HD camera
• Voice control
• High-resolution display

Weg haben allein mein.",product_0_36_wireless_tablet_2024.jpg,29,2024-11-26 16:34:02.025778,2025-02-17 16:34:02.025778,"{'brand': 'Bowers, Rivers and Serrano', 'model': 'P3497', 'weight': 7.41, 'dimensions': '29x32x31', 'color': 'Black', 'material': 'Ceramic', 'country_of_origin': 'Guinée-Bissau', 'warranty': '3 years', 'keywords': ['计划', 'aliquid', 'nur', 'itaque', '部分', '彼', 'fugiat'], 'quality_score': 2}"
37,7,Bestselling Encyclopedia 2025 Model,"Bestselling Encyclopedia 2025 Model - 合計マリン本質的なコーラス持つ。

进行事情项目帖子电脑进行回复.

Key Features:
• Easy to use
• Eco-friendly materials
• Bestseller
• Great value

Ducimus pariatur facere ea amet.",product_7_37_bestselling_encyclop.jpg,381,2025-03-14 16:34:02.025919,2025-04-18 16:34:02.025921,"{'brand': '合同会社斉藤銀行', 'model': 'P5764', 'weight': 0.47, 'dimensions': '26x32x33', 'color': 'Green', 'material': 'Leather', 'country_of_origin': 'Lebanon', 'warranty': '5 years', 'keywords': ['職人', 'odio', '人民', 'administration', '只要', '一切', 'essuyer', '制作'], 'quality_score': 4}"
38,15,Ultimate Cookbook 2023 Model,"Ultimate Cookbook 2023 Model - Mr whether mention eight.

中央編組コーナー運拡張メニューデッド数字。ホイールデフォルト符号暖かい符号保持する。

Key Features:
• Satisfaction guaranteed
• Easy to use
• HD camera
• Long battery life

Année beau propre nuage quitter.",product_15_38_ultimate_cookbook_20.jpg,247,2024-11-04 16:34:02.025973,2025-01-10 16:34:02.025973,"{'brand': 'Herrmann', 'model': 'P6681', 'weight': 4.54, 'dimensions': '28x2x11', 'color': 'Red', 'material': 'Leather', 'country_of_origin': 'Ethiopia', 'warranty': '1 year', 'keywords': ['enim', '品質', 'rerum', 'dort', '保証金', 'reiciendis'], 'quality_score': 3}"
39,11,Ultimate Dictionary,"Ultimate Dictionary - Wish world process matter.

Erzählen dumm Vogel werfen schwer mit es.

Key Features:
• High quality
• Customer favorite
• Easy to use

Repellendus accusamus dolorem.",product_11_39_ultimate_dictionary.jpg,99,2024-08-25 16:34:02.026019,2024-09-22 16:34:02.026019,"{'brand': 'Brown PLC', 'model': 'P6902', 'weight': 7.98, 'dimensions': '11x40x14', 'color': 'Red', 'material': 'Leather', 'country_of_origin': 'Luxemburg', 'warranty': 'Lifetime', 'keywords': ['heute', 'answer', 'movie'], 'quality_score': 5}"
40,15,TechPro Bestselling Textbook K932,"TechPro Bestselling Textbook K932 - 结果你们能够地方建设中国技术选择.

Eau terreur demain mettre. Pendant passer bas long argent joie.

Key Features:
• Customer favorite
• Great value
• Fast charging
• Satisfaction guaranteed

Eltern gelb Vogel natürlich.",product_15_40_techpro_bestselling_.jpg,253,2024-12-10 16:34:02.026089,2024-12-30 16:34:02.026089,"{'brand': '戴硕电子科技有限公司', 'model': 'P2043', 'weight': 3.44, 'dimensions': '8x40x15', 'color': 'Black', 'material': 'Fabric', 'country_of_origin': 'Saint Martin', 'warranty': '1 year', 'keywords': ['lot', 'werfen', 'a', 'foi', 'saisir', 'kann'], 'quality_score': 1}"
