inventory_id,seller_id,product_id,quantity,unit_price,created_at,updated_at,additional_data
12,49,33,155,117.95,2023-08-11 16:34:02.094076,2023-11-06 16:34:02.094076,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2023-09-04', 'price': 147.0}, {'date': '2023-11-06', 'price': 117.95}], 'restock_date': None, 'discount_percent': 12, 'minimum_order_quantity': 1}"
13,59,779,103,22.99,2024-06-27 16:34:02.094094,2024-06-27 16:34:02.094094,"{'stock_pattern': 'overstocked', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
14,140,468,0,169.99,2025-01-16 16:34:02.094104,2025-01-16 16:34:02.094104,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-05-01', 'discount_percent': 9, 'minimum_order_quantity': 1}"
15,459,863,0,12.99,2024-07-24 16:34:02.094120,2024-07-24 16:34:02.094120,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-05-09', 'discount_percent': 0, 'minimum_order_quantity': 1}"
16,11,233,3,27.5,2023-12-13 16:34:02.094128,2024-04-17 16:34:02.094128,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-02-29', 'price': 21.2}, {'date': '2024-04-17', 'price': 27.5}], 'restock_date': '2025-04-29', 'discount_percent': 0, 'minimum_order_quantity': 1}"
17,71,918,47,32.69,2023-12-26 16:34:02.094150,2024-09-29 16:34:02.094150,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-02-06', 'price': 30.53}, {'date': '2024-04-30', 'price': 25.84}, {'date': '2024-06-28', 'price': 25.67}, {'date': '2024-08-25', 'price': 31.38}, {'date': '2024-09-29', 'price': 32.69}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
18,354,912,198,85.61,2023-11-17 16:34:02.094176,2024-04-04 16:34:02.094176,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2023-12-17', 'price': 79.28}, {'date': '2024-01-07', 'price': 82.61}, {'date': '2024-04-04', 'price': 85.61}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
19,74,689,157,10.84,2023-08-19 16:34:02.094195,2024-03-07 16:34:02.094195,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2023-09-22', 'price': 12.36}, {'date': '2023-12-19', 'price': 11.19}, {'date': '2024-03-07', 'price': 10.84}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
20,52,593,48,96.36,2024-02-24 16:34:02.094212,2024-08-18 16:34:02.094212,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-04-23', 'price': 53.85}, {'date': '2024-05-09', 'price': 65.77}, {'date': '2024-07-11', 'price': 76.41}, {'date': '2024-08-18', 'price': 96.36}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
21,149,69,9,45.05,2023-09-05 16:34:02.094225,2024-02-15 16:34:02.094225,"{'stock_pattern': 'limited', 'price_history': [{'date': '2023-09-24', 'price': 35.59}, {'date': '2023-12-04', 'price': 44.19}, {'date': '2024-02-15', 'price': 45.05}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 3}"
22,52,583,0,394.05,2023-11-26 16:34:02.094243,2024-06-18 16:34:02.094243,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-01-03', 'price': 483.46}, {'date': '2024-03-14', 'price': 403.63}, {'date': '2024-04-08', 'price': 334.04}, {'date': '2024-06-18', 'price': 394.05}], 'restock_date': '2025-04-30', 'discount_percent': 17, 'minimum_order_quantity': 1}"
23,44,191,36,261.92,2024-09-29 16:34:02.094263,2024-12-17 16:34:02.094263,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-11-08', 'price': 229.31}, {'date': '2024-12-17', 'price': 261.92}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
24,55,631,5,109.99,2025-02-19 16:34:02.094279,2025-02-19 16:34:02.094279,"{'stock_pattern': 'limited', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
25,58,696,35,513.87,2024-09-05 16:34:02.094291,2025-01-19 16:34:02.094291,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-11-15', 'price': 534.41}, {'date': '2025-01-19', 'price': 513.87}], 'restock_date': None, 'discount_percent': 9, 'minimum_order_quantity': 3}"
26,87,248,0,22.68,2024-02-22 16:34:02.094303,2024-07-04 16:34:02.094303,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-04-09', 'price': 23.43}, {'date': '2024-07-04', 'price': 22.68}], 'restock_date': '2025-05-06', 'discount_percent': 0, 'minimum_order_quantity': 1}"
27,62,109,47,32.99,2023-10-04 16:34:02.094313,2023-10-04 16:34:02.094313,"{'stock_pattern': 'normal', 'price_history': [], 'restock_date': None, 'discount_percent': 11, 'minimum_order_quantity': 1}"
28,79,926,9,684.62,2023-12-21 16:34:02.094328,2024-05-01 16:34:02.094328,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-02-12', 'price': 681.2}, {'date': '2024-04-13', 'price': 658.39}, {'date': '2024-05-01', 'price': 684.62}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
29,319,542,0,169.99,2024-09-16 16:34:02.094345,2024-09-16 16:34:02.094345,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-04-26', 'discount_percent': 0, 'minimum_order_quantity': 1}"
30,43,125,2,468.32,2024-04-20 16:34:02.094352,2025-01-24 16:34:02.094352,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-06-25', 'price': 269.26}, {'date': '2024-08-05', 'price': 343.5}, {'date': '2024-11-01', 'price': 388.47}, {'date': '2025-01-24', 'price': 468.32}], 'restock_date': '2025-05-07', 'discount_percent': 0, 'minimum_order_quantity': 1}"
31,281,508,2,70.05,2024-05-06 16:34:02.094372,2024-12-07 16:34:02.094372,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-07-06', 'price': 62.32}, {'date': '2024-08-12', 'price': 67.81}, {'date': '2024-09-10', 'price': 70.32}, {'date': '2024-12-07', 'price': 70.05}], 'restock_date': '2025-04-28', 'discount_percent': 0, 'minimum_order_quantity': 1}"
32,46,554,40,13.05,2023-11-06 16:34:02.094393,2024-02-06 16:34:02.094393,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-01-03', 'price': 10.28}, {'date': '2024-02-06', 'price': 13.05}], 'restock_date': None, 'discount_percent': 5, 'minimum_order_quantity': 1}"
33,459,770,15,50.58,2024-05-19 16:34:02.094410,2024-08-26 16:34:02.094410,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-07-07', 'price': 47.5}, {'date': '2024-08-26', 'price': 50.58}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
34,17,56,153,14.85,2024-04-26 16:34:02.094419,2024-12-18 16:34:02.094419,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2024-05-13', 'price': 20.22}, {'date': '2024-07-12', 'price': 17.91}, {'date': '2024-10-08', 'price': 18.33}, {'date': '2024-11-27', 'price': 16.23}, {'date': '2024-12-18', 'price': 14.85}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 3}"
35,87,299,4,9.38,2024-07-19 16:34:02.094437,2025-04-13 16:34:02.094437,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-10-13', 'price': 6.36}, {'date': '2025-01-04', 'price': 7.34}, {'date': '2025-01-20', 'price': 7.44}, {'date': '2025-02-15', 'price': 9.17}, {'date': '2025-04-13', 'price': 9.38}], 'restock_date': '2025-05-08', 'discount_percent': 4, 'minimum_order_quantity': 1}"
36,19,274,178,2929.99,2023-12-04 16:34:02.094456,2023-12-04 16:34:02.094456,"{'stock_pattern': 'overstocked', 'price_history': [], 'restock_date': None, 'discount_percent': 1, 'minimum_order_quantity': 1}"
37,336,442,0,343.41,2023-11-11 16:34:02.094464,2024-06-12 16:34:02.094464,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2023-12-12', 'price': 309.26}, {'date': '2024-01-12', 'price': 301.59}, {'date': '2024-04-09', 'price': 260.98}, {'date': '2024-05-09', 'price': 319.49}, {'date': '2024-06-12', 'price': 343.41}], 'restock_date': '2025-05-12', 'discount_percent': 0, 'minimum_order_quantity': 1}"
38,38,992,0,230.52,2023-11-17 16:34:02.094492,2024-08-11 16:34:02.094492,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-01-14', 'price': 136.85}, {'date': '2024-04-13', 'price': 171.71}, {'date': '2024-06-10', 'price': 183.35}, {'date': '2024-08-11', 'price': 230.52}], 'restock_date': '2025-05-14', 'discount_percent': 13, 'minimum_order_quantity': 1}"
39,394,661,0,19.99,2025-02-28 16:34:02.094513,2025-02-28 16:34:02.094513,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-05-15', 'discount_percent': 0, 'minimum_order_quantity': 1}"
40,28,810,96,232.96,2024-07-19 16:34:02.094531,2025-02-11 16:34:02.094531,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2024-09-24', 'price': 246.17}, {'date': '2024-10-25', 'price': 239.5}, {'date': '2024-11-19', 'price': 253.53}, {'date': '2025-02-11', 'price': 232.96}], 'restock_date': None, 'discount_percent': 9, 'minimum_order_quantity': 1}"
41,219,745,0,635.51,2023-11-14 16:34:02.094553,2024-01-01 16:34:02.094553,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-01-01', 'price': 635.51}], 'restock_date': '2025-05-09', 'discount_percent': 0, 'minimum_order_quantity': 1}"
42,87,880,168,35.2,2024-02-28 16:34:02.094571,2024-07-18 16:34:02.094571,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2024-05-13', 'price': 29.92}, {'date': '2024-07-18', 'price': 35.2}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
43,281,887,20,222.94,2024-07-31 16:34:02.094590,2024-12-13 16:34:02.094590,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-10-22', 'price': 258.43}, {'date': '2024-12-13', 'price': 222.94}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
44,12,641,13,84.35,2025-01-11 16:34:02.094606,2025-05-27 16:34:02.094606,"{'stock_pattern': 'normal', 'price_history': [{'date': '2025-03-12', 'price': 84.35}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
45,42,415,0,595.76,2024-06-25 16:34:02.094618,2024-11-18 16:34:02.094618,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-07-29', 'price': 618.08}, {'date': '2024-09-10', 'price': 621.97}, {'date': '2024-10-24', 'price': 514.07}, {'date': '2024-11-18', 'price': 595.76}], 'restock_date': '2025-04-27', 'discount_percent': 0, 'minimum_order_quantity': 1}"
46,15,934,31,214.81,2024-11-23 16:34:02.094644,2025-03-29 16:34:02.094644,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-12-31', 'price': 241.95}, {'date': '2025-03-06', 'price': 231.15}, {'date': '2025-03-29', 'price': 214.81}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
47,348,992,10,96.69,2024-11-11 16:34:02.094666,2025-06-02 16:34:02.094666,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-12-24', 'price': 85.41}, {'date': '2025-02-19', 'price': 94.41}, {'date': '2025-04-09', 'price': 96.69}], 'restock_date': None, 'discount_percent': 18, 'minimum_order_quantity': 1}"
48,62,854,156,956.43,2024-12-25 16:34:02.094688,2025-02-26 16:34:02.094688,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2025-02-09', 'price': 800.48}, {'date': '2025-02-26', 'price': 956.43}], 'restock_date': None, 'discount_percent': 24, 'minimum_order_quantity': 1}"
49,77,476,7,43.62,2024-08-24 16:34:02.094702,2024-11-19 16:34:02.094702,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-11-19', 'price': 43.62}], 'restock_date': None, 'discount_percent': 20, 'minimum_order_quantity': 2}"
50,214,416,29,21.09,2023-11-05 16:34:02.094713,2023-12-31 16:34:02.094713,"{'stock_pattern': 'normal', 'price_history': [{'date': '2023-12-31', 'price': 21.09}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 2}"
51,45,656,2,1004.36,2024-10-23 16:34:02.094727,2025-04-26 16:34:02.094727,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-11-14', 'price': 618.69}, {'date': '2025-01-24', 'price': 788.94}, {'date': '2025-03-14', 'price': 1004.36}], 'restock_date': '2025-05-08', 'discount_percent': 30, 'minimum_order_quantity': 1}"
52,349,409,27,28.77,2023-05-02 16:34:02.094745,2023-12-03 16:34:02.094745,"{'stock_pattern': 'normal', 'price_history': [{'date': '2023-06-09', 'price': 31.07}, {'date': '2023-08-07', 'price': 27.57}, {'date': '2023-10-21', 'price': 29.75}, {'date': '2023-12-03', 'price': 28.77}], 'restock_date': None, 'discount_percent': 26, 'minimum_order_quantity': 1}"
53,273,100,4,5.52,2024-06-09 16:34:02.094758,2024-09-04 16:34:02.094758,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-07-25', 'price': 6.69}, {'date': '2024-09-04', 'price': 5.52}], 'restock_date': '2025-04-26', 'discount_percent': 0, 'minimum_order_quantity': 1}"
54,45,156,171,39.59,2023-12-06 16:34:02.094769,2023-12-28 16:34:02.094769,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2023-12-28', 'price': 39.59}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
55,18,409,18,23.99,2024-12-11 16:34:02.094780,2024-12-11 16:34:02.094780,"{'stock_pattern': 'normal', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 2}"
56,83,547,0,295.43,2024-06-19 16:34:02.094789,2025-01-03 16:34:02.094789,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-07-10', 'price': 177.96}, {'date': '2024-08-13', 'price': 222.04}, {'date': '2024-10-05', 'price': 282.69}, {'date': '2024-12-09', 'price': 269.34}, {'date': '2025-01-03', 'price': 295.43}], 'restock_date': '2025-04-24', 'discount_percent': 0, 'minimum_order_quantity': 1}"
57,22,134,109,69.05,2023-11-08 16:34:02.094807,2024-05-14 16:34:02.094807,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2023-12-02', 'price': 39.34}, {'date': '2024-01-17', 'price': 47.65}, {'date': '2024-03-16', 'price': 59.64}, {'date': '2024-05-14', 'price': 69.05}], 'restock_date': None, 'discount_percent': 22, 'minimum_order_quantity': 1}"
58,65,953,49,81.13,2024-04-12 16:34:02.094830,2025-01-09 16:34:02.094830,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-06-29', 'price': 73.74}, {'date': '2024-08-23', 'price': 72.19}, {'date': '2024-09-22', 'price': 90.03}, {'date': '2024-11-26', 'price': 91.48}, {'date': '2025-01-09', 'price': 81.13}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
59,71,419,1,158.98,2024-01-24 16:34:02.094850,2024-02-17 16:34:02.094850,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-02-17', 'price': 158.98}], 'restock_date': '2025-05-16', 'discount_percent': 0, 'minimum_order_quantity': 1}"
60,192,243,83,149.99,2024-05-03 16:34:02.094860,2024-05-03 16:34:02.094860,"{'stock_pattern': 'overstocked', 'price_history': [], 'restock_date': None, 'discount_percent': 1, 'minimum_order_quantity': 1}"
61,334,675,0,191.34,2023-05-22 16:34:02.094871,2023-10-07 16:34:02.094871,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2023-08-02', 'price': 175.14}, {'date': '2023-08-26', 'price': 166.91}, {'date': '2023-10-07', 'price': 191.34}], 'restock_date': '2025-05-02', 'discount_percent': 29, 'minimum_order_quantity': 1}"
62,367,38,12,6.45,2024-01-17 16:34:02.094884,2024-09-28 16:34:02.094884,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-02-13', 'price': 4.29}, {'date': '2024-03-26', 'price': 4.72}, {'date': '2024-06-11', 'price': 5.74}, {'date': '2024-09-01', 'price': 6.03}, {'date': '2024-09-28', 'price': 6.45}], 'restock_date': None, 'discount_percent': 8, 'minimum_order_quantity': 1}"
63,102,672,34,52.85,2024-11-23 16:34:02.094909,2025-05-05 16:34:02.094909,"{'stock_pattern': 'normal', 'price_history': [{'date': '2025-02-11', 'price': 52.85}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 3}"
64,90,954,0,191.97,2023-07-23 16:34:02.094928,2024-01-17 16:34:02.094928,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2023-09-18', 'price': 181.52}, {'date': '2023-12-13', 'price': 193.89}, {'date': '2024-01-17', 'price': 191.97}], 'restock_date': '2025-04-24', 'discount_percent': 0, 'minimum_order_quantity': 1}"
65,245,160,50,216.09,2023-12-17 16:34:02.094942,2024-01-25 16:34:02.094942,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-01-25', 'price': 216.09}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
66,218,528,1,89.66,2023-10-04 16:34:02.094956,2024-07-04 16:34:02.094956,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-01-01', 'price': 84.68}, {'date': '2024-03-28', 'price': 83.46}, {'date': '2024-05-14', 'price': 81.23}, {'date': '2024-07-04', 'price': 89.66}], 'restock_date': '2025-04-25', 'discount_percent': 0, 'minimum_order_quantity': 1}"
67,66,396,0,141.04,2024-01-17 16:34:02.094978,2024-08-29 16:34:02.094978,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-03-19', 'price': 116.78}, {'date': '2024-06-13', 'price': 113.14}, {'date': '2024-08-29', 'price': 141.04}], 'restock_date': '2025-04-21', 'discount_percent': 0, 'minimum_order_quantity': 1}"
68,11,359,152,11.38,2024-12-18 16:34:02.094994,2025-04-22 16:34:02.094994,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2025-01-08', 'price': 12.58}, {'date': '2025-03-20', 'price': 11.38}], 'restock_date': None, 'discount_percent': 1, 'minimum_order_quantity': 1}"
69,291,854,159,186.1,2024-07-17 16:34:02.095014,2024-12-25 16:34:02.095014,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2024-10-01', 'price': 270.66}, {'date': '2024-11-15', 'price': 219.02}, {'date': '2024-12-25', 'price': 186.1}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
70,27,606,7,2.64,2023-11-13 16:34:02.095033,2024-05-29 16:34:02.095033,"{'stock_pattern': 'limited', 'price_history': [{'date': '2023-12-17', 'price': 2.82}, {'date': '2024-01-14', 'price': 2.46}, {'date': '2024-02-05', 'price': 2.14}, {'date': '2024-04-07', 'price': 2.73}, {'date': '2024-05-29', 'price': 2.64}], 'restock_date': None, 'discount_percent': 1, 'minimum_order_quantity': 1}"
71,75,604,42,13.44,2023-09-03 16:34:02.095055,2023-11-29 16:34:02.095055,"{'stock_pattern': 'normal', 'price_history': [{'date': '2023-11-29', 'price': 13.44}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
72,287,522,0,432.52,2024-02-12 16:34:02.095068,2024-02-28 16:34:02.095068,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-02-28', 'price': 432.52}], 'restock_date': '2025-05-14', 'discount_percent': 0, 'minimum_order_quantity': 1}"
73,56,790,11,629.79,2024-05-09 16:34:02.095085,2025-01-21 16:34:02.095085,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-06-21', 'price': 594.75}, {'date': '2024-09-06', 'price': 681.48}, {'date': '2024-10-26', 'price': 581.42}, {'date': '2025-01-21', 'price': 629.79}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
74,69,423,0,21.42,2024-09-01 16:34:02.095103,2024-11-30 16:34:02.095103,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-09-28', 'price': 24.39}, {'date': '2024-11-30', 'price': 21.42}], 'restock_date': '2025-04-29', 'discount_percent': 24, 'minimum_order_quantity': 1}"
75,140,57,20,15.26,2023-11-26 16:34:02.095114,2024-04-08 16:34:02.095114,"{'stock_pattern': 'normal', 'price_history': [{'date': '2023-12-24', 'price': 12.48}, {'date': '2024-01-18', 'price': 14.1}, {'date': '2024-04-08', 'price': 15.26}], 'restock_date': None, 'discount_percent': 8, 'minimum_order_quantity': 1}"
76,281,871,9,3.0,2025-02-03 16:34:02.095136,2025-02-03 16:34:02.095136,"{'stock_pattern': 'limited', 'price_history': [], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
77,55,593,8,42.98,2024-06-10 16:34:02.095148,2024-11-07 16:34:02.095148,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-06-29', 'price': 42.57}, {'date': '2024-08-31', 'price': 51.08}, {'date': '2024-11-07', 'price': 42.98}], 'restock_date': None, 'discount_percent': 12, 'minimum_order_quantity': 1}"
78,326,829,127,158.36,2023-09-17 16:34:02.095169,2024-03-22 16:34:02.095169,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2023-11-21', 'price': 197.04}, {'date': '2023-12-15', 'price': 181.7}, {'date': '2024-02-27', 'price': 166.68}, {'date': '2024-03-22', 'price': 158.36}], 'restock_date': None, 'discount_percent': 30, 'minimum_order_quantity': 1}"
79,300,32,7,362.68,2024-11-15 16:34:02.095182,2025-01-30 16:34:02.095182,"{'stock_pattern': 'limited', 'price_history': [{'date': '2024-12-15', 'price': 319.61}, {'date': '2025-01-30', 'price': 362.68}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
80,6,270,0,469.99,2024-11-12 16:34:02.095193,2024-11-12 16:34:02.095193,"{'stock_pattern': 'out_of_stock', 'price_history': [], 'restock_date': '2025-05-15', 'discount_percent': 0, 'minimum_order_quantity': 1}"
81,32,751,146,82.35,2023-11-08 16:34:02.095208,2024-04-04 16:34:02.095208,"{'stock_pattern': 'overstocked', 'price_history': [{'date': '2024-02-02', 'price': 95.76}, {'date': '2024-03-15', 'price': 90.47}, {'date': '2024-04-04', 'price': 82.35}], 'restock_date': None, 'discount_percent': 2, 'minimum_order_quantity': 1}"
82,17,528,17,42.49,2025-03-10 16:34:02.095226,2025-05-18 16:34:02.095226,"{'stock_pattern': 'normal', 'price_history': [{'date': '2025-04-04', 'price': 42.49}], 'restock_date': None, 'discount_percent': 20, 'minimum_order_quantity': 1}"
83,357,684,29,68.02,2024-03-15 16:34:02.095241,2024-07-22 16:34:02.095241,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-03-30', 'price': 55.39}, {'date': '2024-05-19', 'price': 66.26}, {'date': '2024-07-22', 'price': 68.02}], 'restock_date': None, 'discount_percent': 26, 'minimum_order_quantity': 1}"
84,290,217,11,48.9,2024-03-22 16:34:02.095253,2024-07-14 16:34:02.095253,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-05-10', 'price': 37.33}, {'date': '2024-06-10', 'price': 47.53}, {'date': '2024-07-14', 'price': 48.9}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
85,68,809,39,1153.93,2023-06-16 16:34:02.095273,2024-01-21 16:34:02.095273,"{'stock_pattern': 'normal', 'price_history': [{'date': '2023-09-06', 'price': 922.39}, {'date': '2023-10-20', 'price': 851.8}, {'date': '2023-11-17', 'price': 982.99}, {'date': '2024-01-21', 'price': 1153.93}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
86,47,835,0,1.57,2023-12-14 16:34:02.095295,2024-04-22 16:34:02.095295,"{'stock_pattern': 'out_of_stock', 'price_history': [{'date': '2024-01-27', 'price': 1.91}, {'date': '2024-04-22', 'price': 1.57}], 'restock_date': '2025-05-04', 'discount_percent': 0, 'minimum_order_quantity': 1}"
87,22,701,15,175.56,2024-01-29 16:34:02.095314,2024-08-24 16:34:02.095314,"{'stock_pattern': 'normal', 'price_history': [{'date': '2024-03-26', 'price': 189.52}, {'date': '2024-04-22', 'price': 167.32}, {'date': '2024-06-04', 'price': 167.0}, {'date': '2024-08-07', 'price': 211.34}, {'date': '2024-08-24', 'price': 175.56}], 'restock_date': None, 'discount_percent': 0, 'minimum_order_quantity': 1}"
